Category,Name,Description,Height,Images
人類,史蒂芬·柯瑞,,1.91,objImages/Curry.png
人類,羅伯特·潘興·瓦德羅,,2.72,objImages/RobertWadlow.png
人類,何平平,,0.73,objImages/Pingping.png
交通工具,雙層巴士,,4.14,objImages/double-bus-1.png;objImages/double-bus-2.png;objImages/double-bus-3.png
交通工具,Honda CRV,,1.8,objImages/CRV_1.png;objImages/CRV_2.png
自然景觀,聖母峰,,8844.43,objImages/MountEverest.png
建築,艾菲爾鐵塔,,324,objImages/Eiffel.png
建築,哈里發塔,,828,objImages/Khalifa.png
建築,台北 101,,509.2,objImages/Taipei101.png
建築,高雄85大樓,,378,objImages/85.png
建築,碎片大廈,,309.6,objImages/TheShard.png
建築,古夫金字塔,,146.59,objImages/GreatPyramidOfGiza.png
動物,人類,,1.78,objImages/human.png
動物,長頸鹿,,5,objImages/giraff.png
植物,椰子,,20,objImages/cocunut.png
